科目,20220331,20211231,20201231,20191231
其他负债(元),"累计:29581000000.00 同比:42.38% 环比:-- 单季:29581000000.00, 单季同比:42.38%, 单季环比:--","累计:22885000000.00 同比:39.32% 环比:-2.98% 单季:--, 单季同比:--, 单季环比:--","累计:16426000000.00 同比:-7.13% 环比:-31.72% 单季:--, 单季同比:--, 单季环比:--","累计:17687000000.00 同比:-10.64% 环比:14.80% 单季:--, 单季同比:--, 单季环比:--"
永续债(元),"累计:49991000000.00 同比:-- 环比:-- 单季:49991000000.00, 单季同比:--, 单季环比:--","累计:49991000000.00 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:49991000000.00 同比:150.02% 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:19995000000.00 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
其他综合收益(元),"累计:1691000000.00 同比:100.12% 环比:-- 单季:1691000000.00, 单季同比:100.12%, 单季环比:--","累计:1785000000.00 同比:286.36% 环比:13.26% 单季:--, 单季同比:--, 单季环比:--","累计:462000000.00 同比:-80.03% 环比:-43.10% 单季:--, 单季同比:--, 单季环比:--","累计:2314000000.00 同比:194.40% 环比:17.22% 单季:--, 单季同比:--, 单季环比:--"
应付款项(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
贵金属(元),"累计:14276000000.00 同比:-42.10% 环比:-- 单季:14276000000.00, 单季同比:-42.10%, 单季环比:--","累计:17820000000.00 同比:-43.14% 环比:2.43% 单季:--, 单季同比:--, 单季环比:--","累计:31340000000.00 同比:-38.78% 环比:-14.40% 单季:--, 单季同比:--, 单季环比:--","累计:51191000000.00 同比:-9.93% 环比:2.80% 单季:--, 单季同比:--, 单季环比:--"
一般风险准备(元),"累计:58733000000.00 同比:13.96% 环比:-- 单季:58733000000.00, 单季同比:13.96%, 单季环比:--","累计:58339000000.00 同比:13.20% 环比:11.47% 单季:--, 单季同比:--, 单季环比:--","累计:51536000000.00 同比:11.19% 环比:11.19% 单季:--, 单季同比:--, 单季环比:--","累计:46348000000.00 同比:16.31% 环比:16.31% 单季:--, 单季同比:--, 单季环比:--"
预计负债(元),"累计:4188000000.00 同比:219.94% 环比:-- 单季:4188000000.00, 单季同比:219.94%, 单季环比:--","累计:3944000000.00 同比:311.69% 环比:28.85% 单季:--, 单季同比:--, 单季环比:--","累计:958000000.00 同比:-44.75% 环比:-5.24% 单季:--, 单季同比:--, 单季环比:--","累计:1734000000.00 同比:101.63% 环比:2.06% 单季:--, 单季同比:--, 单季环比:--"
应收款项类投资(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
买入返售金融资产(元),"累计:27871000000.00 同比:-65.17% 环比:-- 单季:27871000000.00, 单季同比:-65.17%, 单季环比:--","累计:6388000000.00 同比:-93.30% 环比:-57.63% 单季:--, 单季同比:--, 单季环比:--","累计:95314000000.00 同比:53.20% 环比:50.48% 单季:--, 单季同比:--, 单季环比:--","累计:62216000000.00 同比:68.22% 环比:120.64% 单季:--, 单季同比:--, 单季环比:--"
使用权资产(元),"累计:6511000000.00 同比:-3.31% 环比:-- 单季:6511000000.00, 单季同比:-3.31%, 单季环比:--","累计:6771000000.00 同比:-5.29% 环比:-3.17% 单季:--, 单季同比:--, 单季环比:--","累计:7149000000.00 同比:-4.90% 环比:-4.41% 单季:--, 单季同比:--, 单季环比:--","累计:7517000000.00 同比:-- 环比:-1.11% 单季:--, 单季同比:--, 单季环比:--"
盈余公积金(元),"累计:10781000000.00 同比:-- 环比:-- 单季:10781000000.00, 单季同比:--, 单季环比:--","累计:10781000000.00 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:10781000000.00 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:10781000000.00 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
